                 Mean           Deviation                 CV
"Выборка 1"  5025.282  2926.3758833198444 0.5823306798145546
"Выборка 2"  4951.974  2929.7968628087515 0.5916422143591125
"Выборка 3"  5024.906  2859.2203904498165 0.5690097268386347
"Выборка 4"  4803.474  2933.393217644713  0.6106816061968302
"Выборка 5"  5000.024  2883.6090469104856 0.5767190411306996
"Выборка 6"  4846.3    3004.548020917622  0.619967402124842
"Выборка 7"  4891.518  2880.532435102233  0.5888831309835174
"Выборка 8"  4902.648  2915.9608310291137 0.5947726271657916
"Выборка 9"  5106.356  2945.2147115726557 0.5767742616403274
"Выборка 10" 4992.342  2888.124140863062  0.5785108754294201
